state,district,months,mean,std,cov,max_total,peak_factor,spike_months,spike_freq,severity_metric,cov_norm,spike_norm,peak_norm,severity_norm,instability_score,reason_code,dominant_component
Uttar Pradesh,Unnao,12,984.9166666666666,2263.8450580748004,2.2985143156694816,8165,8.290041458668247,2,0.16666666666666666,463.553686890149,0.8233752898671878,1.0,0.8347826970916962,0.9581100575122136,90.3496640756549,MIXED,mixed
Gujarat,Banas Kantha,10,1256.1,3958.4349446607193,3.151369273673051,12522,9.968951516598997,1,0.1,5097.3865412212035,1.0,0.6000000000000001,1.0,1.0,90.0,MIXED,mixed
Gujarat,Surendranagar,10,135.5,413.39172974579714,3.050861474138724,1312,9.682656826568266,1,0.1,475.9669992201625,1.0,0.6000000000000001,1.0,0.9837668902087999,89.59417225522,MIXED,mixed
Maharashtra,Beed,12,530.6666666666666,1161.688217703664,2.189110963009417,4211,7.935301507537689,2,0.16666666666666666,821.0862623557584,0.7783695749525565,1.0,0.7916321097910609,1.0,89.18372944439793,MIXED,mixed
Maharashtra,Nandurbar,12,497.1666666666667,1087.6820084542871,2.1877613311182444,3944,7.932953402614817,2,0.16666666666666666,542.2895840162302,0.7778143712347826,1.0,0.7913464861782072,1.0,89.16136086060762,MIXED,mixed
Bihar,Pashchim Champaran,11,1470.6363636363637,4868.262755290171,3.3103103361681327,16149,10.98096062310688,1,0.09090909090909091,8302.210175927203,1.0,0.5454545454545455,1.0,1.0,88.63636363636364,MIXED,mixed
Meghalaya,South Garo Hills,11,328.27272727272725,956.2040672271887,2.912834322763522,3211,9.781500969260593,1,0.09090909090909091,668.8697138000657,1.0,0.5454545454545455,1.0,1.0,88.63636363636364,MIXED,mixed
Gujarat,Panch Mahals,11,122.45454545454545,398.50981509527804,3.25434889832818,1324,10.812175204157388,1,0.09090909090909091,628.6947731490512,1.0,0.5454545454545455,1.0,1.0,88.63636363636364,MIXED,mixed
Meghalaya,South West Garo Hills,11,405.27272727272725,1218.1908792064642,3.0058545695987227,4078,10.062359802602064,1,0.09090909090909091,505.81205061728053,1.0,0.5454545454545455,1.0,1.0,88.63636363636364,MIXED,mixed
Gujarat,Sabar Kantha,11,211.45454545454547,686.06287811488,3.244493404670542,2280,10.782459157351676,1,0.09090909090909091,1091.7165778917476,1.0,0.5454545454545455,1.0,1.0,88.63636363636364,MIXED,mixed
Maharashtra,Dhule,12,586.6666666666666,1259.2472017644175,2.146444093916621,4573,7.794886363636365,2,0.16666666666666666,627.0203845168512,0.7608175265006519,1.0,0.7745520039108651,1.0,88.31556587323686,MIXED,mixed
Sikkim,South Sikkim,11,33.54545454545455,94.35821494322965,2.812846515922835,318,9.479674796747966,1,0.09090909090909091,940.6548609124953,1.0,0.5454545454545455,0.9794897622163188,1.0,88.22615888069002,MIXED,mixed
Meghalaya,East Khasi Hills,12,2070.5833333333335,6493.489501147681,3.136067694843328,22688,10.957298667847224,1,0.08333333333333333,1168.819236653828,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Meghalaya,West Khasi Hills,12,1150.3333333333333,3731.953481473046,3.2442365819817844,13000,11.301072152999131,1,0.08333333333333333,762.0206787062949,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Delhi,New Delhi,12,125.83333333333333,419.53412112470517,3.3340459956930215,1458,11.586754966887417,1,0.08333333333333333,1280.2948711963293,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Gujarat,Dohad,12,982.9166666666666,3229.926074536335,3.286062983843664,11239,11.434336583298007,1,0.08333333333333333,1880.588447091949,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Gujarat,Morbi,12,530.9166666666666,1644.7833490011733,3.0980066218826057,5753,10.83597551404803,1,0.08333333333333333,833.3138339685686,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Meghalaya,West Garo Hills,12,1161.0833333333333,3691.6794517187463,3.179512913272444,12883,11.095672145266635,1,0.08333333333333333,564.4162211587476,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Meghalaya,East Garo Hills,12,440.75,1373.6189841569471,3.116549028149625,4802,10.895065229722064,1,0.08333333333333333,1031.8307189581055,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Meghalaya,West Jaintia Hills,12,830.5,2663.8464158567263,3.2075212713506636,9289,11.184828416616496,1,0.08333333333333333,824.437471333459,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
West Bengal,Alipurduar,12,246.33333333333334,743.8224780066,3.019577041975372,2608,10.587280108254397,1,0.08333333333333333,497.7768068808169,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Nagaland,Dimapur,12,219.08333333333334,675.2419712199248,3.0821238701556095,2363,10.785850133130467,1,0.08333333333333333,491.03110971457727,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Assam,Golaghat,12,786.4166666666666,2271.6966210035152,2.8886679508363025,7998,10.170181201653069,1,0.08333333333333333,638.2980962062321,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Uttar Pradesh,Shahjahanpur,12,1501.25,4100.748803572342,2.731556238849187,14521,9.672606161532057,1,0.08333333333333333,643.4792393199806,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Delhi,Shahdara,12,118.0,360.64361658265653,3.056301835446242,1263,10.703389830508474,1,0.08333333333333333,483.8209172898071,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Madhya Pradesh,Burhanpur,12,625.6666666666666,1875.8264279721584,2.998124285517568,6581,10.518380394246138,1,0.08333333333333333,816.6903324290896,1.0,0.5,1.0,1.0,87.5,MIXED,mixed
Bihar,Kaimur (Bhabua),12,366.0833333333333,769.4259322062879,2.1017780984464958,2806,7.664921465968587,2,0.16666666666666666,655.3541283450579,0.7424430890667938,1.0,0.7587430665612415,1.0,87.44815400322865,MIXED,mixed
Uttar Pradesh,Etah,12,670.25,1837.9671638673378,2.7422113597423916,6505,9.705333830660201,1,0.08333333333333333,472.8463066621483,1.0,0.5,1.0,0.977316791739525,86.93291979348813,MIXED,mixed
Uttar Pradesh,Rampur,12,1157.5833333333333,3108.568757434355,2.685395226348878,11025,9.524152328846016,1,0.08333333333333333,530.2475259241381,0.9825281087579537,0.5,0.9849000116838431,1.0,86.67384349641547,MIXED,mixed
Uttar Pradesh,Bahraich,12,2361.6666666666665,6308.121580850188,2.6710465409386828,22389,9.480169371912492,1,0.08333333333333333,585.4807046160272,0.9766254300075363,0.5,0.9795499223667207,1.0,86.3897613475605,MIXED,mixed
Assam,Dibrugarh,12,437.8333333333333,1168.1861490310005,2.6681069258416454,4146,9.469356680624287,1,0.08333333333333333,725.5495600670199,0.9754161482460616,0.5,0.9782346659996283,1.0,86.32717776737442,MIXED,mixed
Manipur,Churachandpur,12,283.5833333333333,824.272953283772,2.906633981606014,2900,10.22627093740817,1,0.08333333333333333,455.7922140412191,1.0,0.5,1.0,0.9420680209413127,86.05170052353282,MIXED,mixed
Meghalaya,Ri Bhoi,12,671.8333333333334,2075.520694070563,3.089338666440927,7261,10.807740014884644,1,0.08333333333333333,452.3143973959649,1.0,0.5,1.0,0.9348797896743891,85.87199474185972,MIXED,mixed
Gujarat,Rajkot,12,919.8333333333334,2420.2513330543825,2.631184634594364,8601,9.350606994020655,1,0.08333333333333333,521.7580155041138,0.9602272708171095,0.5,0.9637899475449335,1.0,85.58261707541195,MIXED,mixed
Uttar Pradesh,Pilibhit,12,801.3333333333334,2091.007253295247,2.6094100498692767,7438,9.282029950083194,1,0.08333333333333333,668.6009128178026,0.9512697687964289,0.5,0.9554482321226584,1.0,85.14705770634603,MIXED,mixed
Chhattisgarh,Bijapur,12,335.75,940.0327001082076,2.799799553561303,3320,9.88830975428146,1,0.08333333333333333,419.9665390594267,1.0,0.5,1.0,0.868020633361472,84.2005158340368,MIXED,mixed
Meghalaya,North Garo Hills,11,212.0909090909091,626.2166485403361,2.9525859982613363,2100,9.901414487783969,1,0.09090909090909091,392.5801961494191,1.0,0.5454545454545455,1.0,0.8114163363347618,83.92177204473269,MIXED,mixed
Haryana,Faridabad,12,969.25,2582.6070733765414,2.6645417316239786,9166,9.456796492133092,1,0.08333333333333333,437.1358016211959,0.9739495193843833,0.5,0.9767068439759897,0.9035074466599654,83.84030862755043,MIXED,mixed
Jharkhand,Pakur,12,448.4166666666667,1185.9531232751403,2.6447570115780863,4212,9.39304961902992,1,0.08333333333333333,443.3537820363546,0.9658105963221448,0.5,0.9689526708014871,0.9163592688796197,83.76235302768458,MIXED,mixed
Delhi,East Delhi,12,574.3333333333334,1479.1373612120458,2.5753987716982802,5269,9.174114915844457,1,0.08333333333333333,469.7367967839607,0.9372784069960072,0.5,0.9423214413816408,0.970889806532672,83.73702620082982,MIXED,mixed
West Bengal,Darjeeling,12,389.4166666666667,986.4656339526973,2.5331880178541337,3521,9.041729081960197,1,0.08333333333333333,966.9010912299265,0.9199139925822725,0.5,0.9262180212165753,1.0,83.62178020179968,MIXED,mixed
Punjab,Ludhiana,12,979.4166666666666,2660.812570978796,2.716731970709228,9424,9.622053943673956,1,0.08333333333333333,406.1296950350452,0.9954192363947523,0.5,0.9968087695331991,0.8394215308218576,83.28429075305299,MIXED,mixed
Madhya Pradesh,Bhind,12,788.5833333333334,1981.0136275210834,2.512117037963965,7073,8.96924865264715,1,0.08333333333333333,526.6159014816984,0.9112459354263327,0.5,0.9174014977810486,1.0,83.18540801841095,MIXED,mixed
Maharashtra,Raigad,12,170.16666666666666,426.29520999022037,2.505162840295125,1523,8.950048971596475,1,0.08333333333333333,889.8389170590369,0.9083851580357505,0.5,0.9150660475147869,1.0,83.05287569136826,MIXED,mixed
Uttar Pradesh,Barabanki,12,166.08333333333334,516.1744698581415,3.1079245550916696,1805,10.868038133467135,1,0.08333333333333333,381.0621820055073,1.0,0.5,1.0,0.7876099779647442,82.1902494491186,MIXED,mixed
Assam,Cachar,12,1018.75,2679.8013198064446,2.6304798231228905,9524,9.348711656441719,1,0.08333333333333333,408.68903791395365,0.9599373295732405,0.5,0.9635593985768699,0.844711386608261,81.68709252394113,MIXED,mixed
Gujarat,Chhotaudepur,12,266.8333333333333,772.2280437248776,2.8940463849776803,2718,10.186133666458463,1,0.08333333333333333,366.49827852956923,1.0,0.5,1.0,0.7575081304515778,81.43770326128946,MIXED,mixed
Bihar,Muzaffarpur,12,1445.0833333333333,3561.3414086251096,2.4644540051612545,12749,8.822328585433366,1,0.08333333333333333,467.26062340666573,0.8916385942057147,0.5,0.8995301326688897,0.9657718521640068,81.38405678364941,MIXED,mixed
Uttar Pradesh,Sitapur,12,1738.8333333333333,4232.981065037937,2.4343799856443615,15171,8.724815489312759,1,0.08333333333333333,470.166159342358,0.8792669189708623,0.5,0.8876686342566094,0.9717772476148031,80.92581144462814,MIXED,mixed
Assam,Chirang,12,198.08333333333334,538.922402633817,2.720685246784099,1909,9.637358014303743,1,0.08333333333333333,358.5454533641174,0.9970455121137177,0.5,0.9986703575321292,0.7410705915167158,80.91153730197202,MIXED,mixed
Meghalaya,East Jaintia Hills,12,384.0833333333333,1218.8563535569156,3.17341641195118,4254,11.075721414623564,1,0.08333333333333333,350.0322510675058,1.0,0.5,1.0,0.7234748200393281,80.5868705009832,MIXED,mixed
Gujarat,Mahisagar,12,114.58333333333333,246.15016050198201,2.1482195825627524,892,7.784727272727273,2,0.16666666666666666,333.86699425965907,0.7615479166934482,1.0,0.7733162515300838,0.690063166615167,80.5643416967843,SPIKY,spike_freq
Madhya Pradesh,Gwalior,12,977.0833333333334,2319.6366666250806,2.3740417910022145,8334,8.529466950959488,1,0.08333333333333333,515.2451389625725,0.8544453433929571,0.5,0.8639064272331272,1.0,80.41148884645125,INTENSE,severity
Delhi,North East Delhi,12,665.8333333333334,1738.626669808587,2.6112040097250366,6184,9.287609511889862,1,0.08333333333333333,387.33092155682755,0.9520077575680116,0.5,0.9561269303298116,0.8005667132510884,80.19693916491379,MIXED,mixed
Delhi,West Delhi,12,1202.9166666666667,3365.422503756085,2.797718742298096,11885,9.880152407343262,1,0.08333333333333333,337.8985342399659,1.0,0.5,1.0,0.6983958778234588,79.95989694558648,MIXED,mixed
Bihar,Purnia,12,687.5,1185.8098498494605,1.7248143270537608,4443,6.462545454545454,3,0.25,509.62403579126783,0.5873699252565353,1.0,0.6124859819454507,1.0,79.87081739660508,MIXED,mixed
Assam,Hojai,12,401.5,1034.620044443194,2.5768867856617534,3685,9.178082191780822,1,0.08333333333333333,390.47525217764655,0.937890537525838,0.5,0.9428040210462436,0.8070656687704827,79.66943826596207,MIXED,mixed
Maharashtra,Nanded,12,511.75,993.3821131504596,1.9411472655602533,3654,7.140205178309722,2,0.16666666666666666,388.66036579957046,0.6763637112817206,1.0,0.6949165482721975,0.803314515578838,79.27210519336653,SPIKY,spike_freq
Maharashtra,Mumbai Suburban,12,885.8333333333334,2192.9787891580186,2.475611050789861,7844,8.854938852304798,1,0.08333333333333333,410.46346160176813,0.8962283147457314,0.5,0.9034968473370519,0.8483789082560519,78.66625909551428,MIXED,mixed
Gujarat,Patan,12,526.0,1433.5143085185,2.7253123736093157,5075,9.64828897338403,1,0.08333333333333333,310.60893690899843,0.9989489926351658,0.5,1.0,0.6419915423436411,78.518258337646,MIXED,mixed
Assam,Tinsukia,12,442.1666666666667,1181.4631786155007,2.6719860805476836,4192,9.480588013569543,1,0.08333333333333333,320.9899759032384,0.9770119323474151,0.5,0.9796008459610682,0.6634479089934975,77.98857261448126,MIXED,mixed
Nagaland,Peren,12,107.08333333333333,341.0589014267539,3.1849858498996473,1190,11.112840466926071,1,0.08333333333333333,298.97496231484536,1.0,0.5,1.0,0.6179455075849074,77.94863768962269,MIXED,mixed
Punjab,Kapurthala,12,210.66666666666666,569.8193227735092,2.704838557469189,2019,9.583860759493671,1,0.08333333333333333,305.5480723088721,0.9905265932295445,0.5,0.992162948494412,0.6315313401918294,77.84734027157032,MIXED,mixed
Uttar Pradesh,Aligarh,12,1482.3333333333333,3907.250214975263,2.635878265105867,13884,9.366314369237688,1,0.08333333333333333,328.14831579657863,0.9621581092382289,0.5,0.9657005935361909,0.6782433418438147,77.63483869396606,MIXED,mixed
Gujarat,Gandhinagar,12,262.25,549.4839107579204,2.0952675338719557,1999,7.622497616777884,2,0.16666666666666666,296.79926935527214,0.7397648108783229,1.0,0.7535826271962975,0.6134486103201908,77.60081212828041,SPIKY,spike_freq
Assam,Dhemaji,12,415.0833333333333,1118.7637217712752,2.695274977164285,3966,9.554707889981932,1,0.08333333333333333,294.9404773870569,0.9865923831866121,0.5,0.9886167918325498,0.6096067095222105,77.11027507030462,MIXED,mixed
Uttar Pradesh,Moradabad,12,1184.5833333333333,2955.6485046996595,2.4950954665069234,10562,8.916215265564546,1,0.08333333333333333,367.5984075344338,0.904243700359781,0.5,0.9109505136393891,0.7597819655950171,76.84087042345664,MIXED,mixed
Rajasthan,Sirohi,12,519.0833333333334,1270.3395006728306,2.4472746842308504,4548,8.761598972547759,1,0.08333333333333333,384.5348046922549,0.8845714650783003,0.5,0.8921429791943443,0.7947874739403213,76.74969038474393,MIXED,mixed
Uttar Pradesh,Hapur,12,353.4166666666667,833.3732611646731,2.358047426073114,2997,8.480075453902382,1,0.08333333333333333,414.517565220644,0.8478656745735167,0.5,0.8578984427958531,0.8567582558080046,76.51289548832268,MIXED,mixed
Assam,Barpeta,12,779.9166666666666,1725.5929393759823,2.212535022172432,6253,8.017523239662358,1,0.08333333333333333,470.0659073047795,0.788005628173976,0.5,0.8016335658400561,0.9715700386372745,76.46209112795226,INTENSE,severity
Maharashtra,Thane,12,2099.6666666666665,4983.881096884113,2.3736534831961165,17906,8.528020320685824,1,0.08333333333333333,402.10458883584937,0.854285603586128,0.5,0.8637304590465258,0.8311021174700268,76.18073022526504,MIXED,mixed
Uttar Pradesh,Agra,12,1495.75,3557.6678041303203,2.3785176694837507,12784,8.546882834698312,1,0.08333333333333333,386.746860226744,0.8562866042504599,0.5,0.8660248962955904,0.7993595283006004,75.4930842609406,MIXED,mixed
Nagaland,Phek,12,54.833333333333336,128.28791010375016,2.339597144749243,460,8.389057750759878,2,0.16666666666666666,153.92349848966478,0.840275705151492,1.0,0.8468270443451372,0.3181414713359016,75.09834882484505,SPIKY,spike_freq
Gujarat,Surat,12,1288.8333333333333,3018.1087947537108,2.3417370708033447,10859,8.425449372817795,1,0.08333333333333333,374.26174867676815,0.8411560154855686,0.5,0.8512537232675907,0.7735542951992433,74.09861230989996,MIXED,mixed
Uttar Pradesh,Gautam Buddha Nagar,12,1052.4166666666667,2687.3572506133687,2.5535107298567126,9577,9.100007918283316,1,0.08333333333333333,283.3671994171523,0.9282742316466287,0.5,0.9333070620943382,0.5856861274301134,73.65652137703846,MIXED,mixed
Maharashtra,Sangli,12,338.9166666666667,625.9345679328896,1.846868653846736,2314,6.827637078927956,2,0.16666666666666666,312.1342504022162,0.6375799243304215,1.0,0.6568957473537167,0.6451441829978773,73.39391725193391,SPIKY,spike_freq
Uttar Pradesh,Meerut,12,1177.1666666666667,2649.3219658599214,2.250592070672452,9576,8.134786917740337,1,0.08333333333333333,391.17840330208725,0.8036613154416792,0.5,0.8158975261353969,0.8085189980898918,73.1407649382056,MIXED,mixed
Uttar Pradesh,Hardoi,12,1349.8333333333333,3191.395016527279,2.364288195970327,11478,8.503272008889986,1,0.08333333333333333,340.3729794727695,0.8504329661967861,0.5,0.8607200730291454,0.7035102603240431,72.81514695458758,MIXED,mixed
Karnataka,Bengaluru,12,1539.4166666666667,3755.125938048691,2.4393174501480153,13455,8.740323715693174,1,0.08333333333333333,304.57629028618027,0.8812980644015056,0.5,0.8895550557723519,0.6295227829179202,72.46811262044022,MIXED,mixed
Uttar Pradesh,Maharajganj,12,961.0833333333334,2278.7469227359998,2.3710190820109247,8190,8.52163357322466,1,0.08333333333333333,326.9052910298588,0.8532018789485486,0.5,0.8629535747316587,0.6756741582424053,72.24698181914975,MIXED,mixed
Bihar,West Champaran,12,1478.5,3338.3095749468503,2.257902992862259,12071,8.164355765979034,1,0.08333333333333333,355.8783690093905,0.8066688400909454,0.5,0.8194942824726428,0.7355580469792309,71.478902026662,MIXED,mixed
Gujarat,Banaskantha,12,766.9166666666666,1800.7769766678412,2.3480738585259258,6472,8.438987286754319,1,0.08333333333333333,298.53525468248387,0.8437628063633871,0.5,0.8529004758685446,0.6170366844715444,70.29681082006111,MIXED,mixed
Assam,Baksa,12,178.83333333333334,408.65585284026713,2.285121264717244,1475,8.247903075489281,1,0.08333333333333333,295.74344892845266,0.8178657344620036,0.5,0.8296569818282288,0.6112663557109156,68.91077056319757,MIXED,mixed
Telangana,Hyderabad,12,1239.25,2777.169720973299,2.2410084494438562,10040,8.101674399838613,1,0.08333333333333333,306.3477512306529,0.7997188610801188,0.5,0.8118697176240959,0.6331841809293904,68.55856470812024,MIXED,mixed
Bihar,Gaya,12,1251.5,2708.7198083227436,2.164378592347378,9843,7.8649620455453455,1,0.08333333333333333,335.712246822472,0.7681953161559609,0.5,0.783076013738989,0.6938770830806836,68.5543068364757,MIXED,mixed
Madhya Pradesh,Indore,12,952.1666666666666,2081.713535149407,2.186291127410545,7544,7.922982671100998,1,0.08333333333333333,280.6648815208655,0.7772095673843855,0.5,0.790133645844698,0.5801007593740478,66.12147892277673,MIXED,mixed
Maharashtra,Latur,12,309.75,447.40080160045227,1.444393225505899,1713,5.530266343825666,2,0.16666666666666666,325.8383048670031,0.4720119234636268,1.0,0.49908349928888845,0.6734688253914972,65.978748324474,SPIKY,spike_freq
Assam,Majuli,12,29.666666666666668,64.03171562640351,2.158372436845062,232,7.820224719101123,1,0.08333333333333333,289.07903125421626,0.7657245388379195,0.5,0.7776341628728092,0.5974918010439365,65.96171444869219,MIXED,mixed
Bihar,Patna,12,1053.0833333333333,2125.212650679,2.0180859229364567,7788,7.395426129619373,1,0.08333333333333333,329.2628077009176,0.7080142886689333,0.5,0.7259616389233632,0.680546863383524,65.27333302312336,MIXED,mixed
Madhya Pradesh,Chhatarpur,12,804.6666666666666,1673.367010406011,2.079577891971016,6109,7.591963545981773,1,0.08333333333333333,300.3986413795449,0.7333104972459026,0.5,0.749868461133715,0.6208880820247943,65.01888619067124,MIXED,mixed
Chhattisgarh,Balrampur,12,287.5,566.5253745420412,1.9705230418853605,2081,7.2382608695652175,2,0.16666666666666666,52.70342353323615,0.6884481472934,1.0,0.706844047986734,0.10893167626662775,62.51361728520237,SPIKY,spike_freq
Nagaland,Mokokchung,12,25.333333333333332,63.2877028602977,2.4981987971170145,226,8.921052631578947,1,0.08333333333333333,38.24970002148625,0.9055203304568273,0.5,0.9115389311092689,0.07905755756850588,59.87282747510284,MIXED,mixed
Mizoram,Lunglei,12,39.25,90.12125669946523,2.296082973234783,323,8.229299363057326,1,0.08333333333333333,66.77803527665912,0.822375098357373,0.5,0.8273940252177523,0.13802221625870573,57.16968886154389,MIXED,mixed
Assam,Sonitpur,12,370.3333333333333,570.9832561361837,1.5418089724649426,2172,5.864986498649865,2,0.16666666666666666,32.889870856402666,0.5120862468662858,1.0,0.5397988774581436,0.06797943139920457,52.85805074013156,SPIKY,spike_freq
Tamil Nadu,Thiruvallur,12,34.25,99.47509967095009,2.904382472144528,350,10.218978102189782,0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,MIXED,mixed
Nagaland,Longleng,12,66.41666666666667,208.1041952018413,3.133312851219693,727,10.946047678795482,0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,MIXED,mixed
Sikkim,West Sikkim,12,31.0,86.69696440108868,2.7966762710028608,306,9.870967741935484,0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,MIXED,mixed
Nagaland,Kohima,12,94.08333333333333,259.01402500929396,2.7530277237480316,916,9.736049601417184,0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,MIXED,mixed
Nagaland,Tuensang,12,100.33333333333333,292.3342835408351,2.913630732965134,1028,10.245847176079735,0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,MIXED,mixed
Assam,West Karbi Anglong,12,137.5,410.0579781622904,2.9822398411802937,1439,10.465454545454545,0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,MIXED,mixed
Meghalaya,South West Khasi Hills,12,248.66666666666666,770.8865419801156,3.1000799275339768,2696,10.841823056300269,0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,MIXED,mixed
West Bengal,Kalimpong,12,28.166666666666668,76.8349273482188,2.727867243132028,272,9.65680473372781,0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,MIXED,mixed
Mizoram,Saiha,12,34.0,97.74084472354802,2.8747307271631772,344,10.117647058823529,0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,MIXED,mixed
Gujarat,The Dangs,12,62.25,112.0130877093468,1.7994070314754507,414,6.650602409638554,1,0.08333333333333333,120.67289914051136,0.6180554381616565,0.5,0.6353612403773657,0.24941645726372907,49.98429938399024,MIXED,mixed
Madhya Pradesh,Sehore,12,244.16666666666666,483.2207914952888,1.9790612620967458,1774,7.265529010238908,1,0.08333333333333333,47.81939938378359,0.6919605506646745,0.5,0.7101609461283618,0.09883698218682004,49.93295999717798,MIXED,mixed
Mizoram,Lawngtlai,12,92.75,251.0502032372301,2.7067407357113757,889,9.584905660377359,0,0.0,0.0,0.9913091002515246,0.0,0.9922900502957693,0.0,49.585074013461124,MIXED,mixed
Madhya Pradesh,Vidisha,12,456.5833333333333,871.3568790145979,1.9084290104353303,3210,7.0304800146012045,1,0.08333333333333333,59.766152302533314,0.6629042657816197,0.5,0.6815695732822329,0.12352949235291866,49.10675674791622,MIXED,mixed
