month,state,district,age_0_5,age_5_17,age_18_greater,total,prev,abs_change,pct_change,z_change,severity,is_spike
2025-01-01,Andaman and Nicobar Islands,Nicobar,10,2,0,12,,,,,0.02564949357461537,False
2025-02-01,Andaman and Nicobar Islands,Nicobar,4,1,0,5,12.0,-7.0,-0.5833333333333334,1.6187778227438285,2.104418233590297,False
2025-03-01,Andaman and Nicobar Islands,Nicobar,2,0,0,2,5.0,-3.0,-0.6,0.5395926075812761,0.49186500890104895,False
2025-04-01,Andaman and Nicobar Islands,Nicobar,4,0,0,4,2.0,2.0,1.0,0.8093889113719143,1.6099654902200462,False
2025-08-01,Andaman and Nicobar Islands,Nicobar,2,0,0,2,4.0,-2.0,-0.5,0.26979630379063807,0.2437576581890643,False
2025-09-01,Andaman and Nicobar Islands,Nicobar,0,2,0,2,2.0,0.0,0.0,0.26979630379063807,0.04062627636484406,False
2025-10-01,Andaman and Nicobar Islands,Nicobar,7,0,0,7,2.0,5.0,2.5,1.6187778227438285,9.292654814382,False
2025-11-01,Andaman and Nicobar Islands,Nicobar,2,0,0,2,7.0,-5.0,-0.7142857142857143,1.0791852151625523,1.0548805710802822,False
2025-12-01,Andaman and Nicobar Islands,Nicobar,2,0,0,2,2.0,0.0,0.0,0.26979630379063807,0.04062627636484406,False
2025-01-01,Andaman and Nicobar Islands,North And Middle Andaman,4,0,0,4,,,,,0.016094379124341005,False
2025-02-01,Andaman and Nicobar Islands,North And Middle Andaman,4,0,0,4,4.0,0.0,0.0,0.6744907594765952,0.12464947911315123,False
2025-03-01,Andaman and Nicobar Islands,North And Middle Andaman,6,0,0,6,4.0,2.0,0.5,2.023472278429786,2.479251754700478,False
2025-04-01,Andaman and Nicobar Islands,North And Middle Andaman,3,0,0,3,6.0,-3.0,-0.5,1.3489815189531904,1.205228945455045,False
2025-05-01,Andaman and Nicobar Islands,North And Middle Andaman,1,0,0,1,3.0,-2.0,-0.6666666666666666,0.6744907594765952,0.41157433283071504,False
2025-06-01,Andaman and Nicobar Islands,North And Middle Andaman,3,0,0,3,1.0,2.0,2.0,2.023472278429786,6.181891055721398,False
2025-07-01,Andaman and Nicobar Islands,North And Middle Andaman,1,0,0,1,3.0,-2.0,-0.6666666666666666,0.6744907594765952,0.41157433283071504,False
2025-08-01,Andaman and Nicobar Islands,North And Middle Andaman,5,0,0,5,1.0,4.0,4.0,3.3724537973829762,25.50938808896325,True
2025-09-01,Andaman and Nicobar Islands,North And Middle Andaman,7,1,0,8,5.0,3.0,0.6,2.697963037906381,4.303427207356348,False
2025-10-01,Andaman and Nicobar Islands,North And Middle Andaman,6,0,0,6,8.0,-2.0,-0.25,0.6744907594765952,0.5274813002252724,False
2025-11-01,Andaman and Nicobar Islands,North And Middle Andaman,5,0,0,5,6.0,-1.0,-0.16666666666666666,0.0,0.04778025251274814,False
2025-12-01,Andaman and Nicobar Islands,North And Middle Andaman,3,0,0,3,5.0,-2.0,-0.4,0.6744907594765952,0.5368360863009327,False
2025-01-01,Andaman and Nicobar Islands,South Andaman,8,0,0,8,,,,,0.0219722457733622,False
2025-02-01,Andaman and Nicobar Islands,South Andaman,2,0,0,2,8.0,-6.0,-0.75,2.1920949682989344,2.1404051441224183,False
2025-03-01,Andaman and Nicobar Islands,South Andaman,3,1,0,4,2.0,2.0,1.0,0.5058680696074465,1.0726177452754355,False
2025-04-01,Andaman and Nicobar Islands,South Andaman,4,1,0,5,4.0,1.0,0.25,0.1686226898691488,0.16845753687789547,False
2025-05-01,Andaman and Nicobar Islands,South Andaman,6,0,0,6,5.0,1.0,0.2,0.1686226898691488,0.1568146855448744,False
2025-07-01,Andaman and Nicobar Islands,South Andaman,3,0,0,3,6.0,-3.0,-0.5,1.1803588290840417,1.0649725349815637,False
2025-08-01,Andaman and Nicobar Islands,South Andaman,12,0,0,12,3.0,9.0,3.0,2.86658572777553,23.588340684568475,False
2025-09-01,Andaman and Nicobar Islands,South Andaman,3,0,0,3,12.0,-9.0,-0.75,3.2038311075138273,3.893070069273066,False
2025-10-01,Andaman and Nicobar Islands,South Andaman,3,2,0,5,3.0,2.0,0.6666666666666666,0.5058680696074465,0.8322702189635827,False
2025-11-01,Andaman and Nicobar Islands,South Andaman,5,0,0,5,5.0,0.0,0.0,0.1686226898691488,0.04813072482225585,False
2025-12-01,Andaman and Nicobar Islands,South Andaman,3,0,0,3,5.0,-2.0,-0.4,0.8431134493457441,0.6537164283621673,False
2025-01-01,Andhra Pradesh,Adilabad,38,12,0,50,,,,,0.03931825632724326,False
2025-02-01,Andhra Pradesh,Adilabad,67,23,0,90,50.0,40.0,0.8,1.0376780915024542,4.6187154309688125,False
2025-03-01,Andhra Pradesh,Adilabad,51,10,0,61,90.0,-29.0,-0.32222222222222224,0.7523166163392793,1.485219534900964,False
2025-04-01,Andhra Pradesh,Adilabad,30,3,0,33,61.0,-28.0,-0.45901639344262296,0.7263746640517179,1.6290268736139801,False
2025-05-01,Andhra Pradesh,Adilabad,28,5,0,33,33.0,0.0,0.0,0.0,0.03526360524616162,False
2025-06-01,Andhra Pradesh,Adilabad,40,3,0,43,33.0,10.0,0.30303030303030304,0.25941952287561354,0.5481662034795999,False
2025-07-01,Andhra Pradesh,Adilabad,16,1,0,17,43.0,-26.0,-0.6046511627906976,0.6744907594765952,1.5774082884572993,False
2025-08-01,Andhra Pradesh,Adilabad,58,12,0,70,17.0,53.0,3.1176470588235294,1.3749234712407519,20.229754416267834,False
2025-09-01,Andhra Pradesh,Adilabad,34,8,0,42,70.0,-28.0,-0.4,0.7263746640517179,1.554080241018775,False
2025-10-01,Andhra Pradesh,Adilabad,44,12,0,56,42.0,14.0,0.3333333333333333,0.36318733202585896,0.8114990563298891,False
2025-11-01,Andhra Pradesh,Adilabad,35,6,0,41,56.0,-15.0,-0.26785714285714285,0.3891292843134203,0.6725177769116741,False
2025-12-01,Andhra Pradesh,Adilabad,32,10,0,42,41.0,1.0,0.024390243902439025,0.025941952287561354,0.0589227735640173,False
2025-01-01,Andhra Pradesh,Alluri Sitharama Raju,15,0,0,15,,,,,0.027725887222397817,False
2025-02-01,Andhra Pradesh,Alluri Sitharama Raju,30,2,0,32,15.0,17.0,1.1333333333333333,1.541693164517932,7.079570828125234,False
2025-03-01,Andhra Pradesh,Alluri Sitharama Raju,26,4,0,30,32.0,-2.0,-0.0625,0.2890674683471122,0.21710856504762963,False
2025-04-01,Andhra Pradesh,Alluri Sitharama Raju,10,1,0,11,30.0,-19.0,-0.6333333333333333,1.9271164556474147,3.693943117724158,False
2025-05-01,Andhra Pradesh,Alluri Sitharama Raju,36,11,0,47,11.0,36.0,3.272727272727273,3.372453797382976,45.3381111584721,True
2025-06-01,Andhra Pradesh,Alluri Sitharama Raju,20,6,2,28,47.0,-19.0,-0.40425531914893614,1.9271164556474147,3.4419967803311593,False
2025-07-01,Andhra Pradesh,Alluri Sitharama Raju,20,2,7,29,28.0,1.0,0.03571428571428571,0.0,0.04615910732255783,False
2025-08-01,Andhra Pradesh,Alluri Sitharama Raju,31,1,0,32,29.0,3.0,0.10344827586206896,0.1927116455647415,0.208222898071512,False
2025-09-01,Andhra Pradesh,Alluri Sitharama Raju,23,3,0,26,32.0,-6.0,-0.1875,0.6744907594765952,0.733871119270513,False
2025-10-01,Andhra Pradesh,Alluri Sitharama Raju,31,3,3,37,26.0,11.0,0.4230769230769231,0.9635582278237074,2.023671991480273,False
2025-11-01,Andhra Pradesh,Alluri Sitharama Raju,28,5,1,34,37.0,-3.0,-0.08108108108108109,0.385423291129483,0.31251855872155204,False
2025-12-01,Andhra Pradesh,Alluri Sitharama Raju,29,7,1,37,34.0,3.0,0.08823529411764706,0.1927116455647415,0.20042613283708968,False
2025-01-01,Andhra Pradesh,Anakapalli,13,0,0,13,,,,,0.02639057329615259,False
2025-02-01,Andhra Pradesh,Anakapalli,16,0,0,16,13.0,3.0,0.23076923076923078,0.6744907594765952,0.7258061142129608,False
2025-03-01,Andhra Pradesh,Anakapalli,17,1,0,18,16.0,2.0,0.125,0.5058680696074465,0.4013868510865106,False
2025-04-01,Andhra Pradesh,Anakapalli,8,0,0,8,18.0,-10.0,-0.5555555555555556,1.5176042088223392,2.3300015968621146,False
2025-05-01,Andhra Pradesh,Anakapalli,6,0,0,6,8.0,-2.0,-0.25,0.1686226898691488,0.1829504664690201,False
2025-06-01,Andhra Pradesh,Anakapalli,14,0,0,14,6.0,8.0,1.3333333333333333,1.5176042088223392,6.278793210974001,False
2025-07-01,Andhra Pradesh,Anakapalli,5,0,0,5,14.0,-9.0,-0.6428571428571429,1.3489815189531904,1.9286252940097592,False
2025-08-01,Andhra Pradesh,Anakapalli,12,0,0,12,5.0,7.0,1.4,1.3489815189531904,5.574846324018941,False
2025-09-01,Andhra Pradesh,Anakapalli,16,0,0,16,12.0,4.0,0.3333333333333333,0.8431134493457441,1.1578846975129409,False
2025-10-01,Andhra Pradesh,Anakapalli,13,0,1,14,16.0,-2.0,-0.125,0.1686226898691488,0.16367483909717215,False
2025-11-01,Andhra Pradesh,Anakapalli,13,0,0,13,14.0,-1.0,-0.07142857142857142,0.0,0.04524098279340443,False
2025-12-01,Andhra Pradesh,Anakapalli,8,0,0,8,13.0,-5.0,-0.38461538461538464,0.6744907594765952,0.8246846022571653,False
2025-01-01,Andhra Pradesh,Anantapur,95,9,0,104,,,,,0.04653960350157524,False
2025-02-01,Andhra Pradesh,Anantapur,169,23,0,192,104.0,88.0,0.8461538461538461,1.3636443615505078,7.287945685031315,False
2025-03-01,Andhra Pradesh,Anantapur,126,15,0,141,192.0,-51.0,-0.265625,0.6744907594765953,1.4033573269253827,False
2025-04-01,Andhra Pradesh,Anantapur,57,5,0,62,141.0,-79.0,-0.5602836879432624,1.0850503522014794,3.241876213705108,False
2025-05-01,Andhra Pradesh,Anantapur,106,3,0,109,62.0,47.0,0.7580645161290323,0.762467815060499,3.478604729671149,False
2025-06-01,Andhra Pradesh,Anantapur,126,6,0,132,109.0,23.0,0.21100917431192662,0.41055959272488407,0.7765322655637847,False
2025-07-01,Andhra Pradesh,Anantapur,68,4,0,72,132.0,-60.0,-0.45454545454545453,0.8064563428524508,2.156690587499896,False
2025-08-01,Andhra Pradesh,Anantapur,121,14,0,135,72.0,63.0,0.875,0.9970732966175756,5.254803928372918,False
2025-09-01,Andhra Pradesh,Anantapur,96,5,0,101,135.0,-34.0,-0.2518518518518518,0.4252224353222014,0.8546972259546409,False
2025-10-01,Andhra Pradesh,Anantapur,84,12,0,96,101.0,-5.0,-0.04950495049504951,0.0,0.06839419383703078,False
2025-11-01,Andhra Pradesh,Anantapur,116,9,0,125,96.0,29.0,0.3020833333333333,0.4985366483087878,1.1639073934012332,False
2025-12-01,Andhra Pradesh,Anantapur,106,9,0,115,125.0,-10.0,-0.08,0.07331421298658644,0.1482956537098242,False
2025-01-01,Andhra Pradesh,Ananthapur,29,7,0,36,,,,,0.03610917912644225,False
2025-02-01,Andhra Pradesh,Ananthapur,58,8,0,66,36.0,30.0,0.8333333333333334,1.1004849233565501,4.711158757132255,False
2025-03-01,Andhra Pradesh,Ananthapur,37,3,0,40,66.0,-26.0,-0.3939393939393939,0.8874878414165726,1.8113287395376936,False
2025-04-01,Andhra Pradesh,Ananthapur,17,3,0,20,40.0,-20.0,-0.5,0.6744907594765952,1.4147726970215693,False
2025-05-01,Andhra Pradesh,Ananthapur,45,1,0,46,20.0,26.0,1.3,0.9584868687298984,5.705462950714812,False
2025-06-01,Andhra Pradesh,Ananthapur,49,6,0,55,46.0,9.0,0.1956521739130435,0.35499513656662907,0.5414915220579263,False
2025-07-01,Andhra Pradesh,Ananthapur,26,2,0,28,55.0,-27.0,-0.4909090909090909,0.9229873550732355,2.0355051687850447,False
2025-08-01,Andhra Pradesh,Ananthapur,47,4,0,51,28.0,23.0,0.8214285714285714,0.8519883277599097,3.465988493777995,False
2025-09-01,Andhra Pradesh,Ananthapur,46,4,0,50,51.0,-1.0,-0.0196078431372549,0.0,0.047027718352192924,False
2025-10-01,Andhra Pradesh,Ananthapur,39,3,0,42,50.0,-8.0,-0.16,0.24849659559664034,0.3407990132759931,False
2025-11-01,Andhra Pradesh,Ananthapur,37,3,0,40,42.0,-2.0,-0.047619047619047616,0.0354995136566629,0.07428001656185462,False
2025-12-01,Andhra Pradesh,Ananthapur,52,2,0,54,40.0,14.0,0.35,0.5324927048499436,1.1405740525031816,False
2025-01-01,Andhra Pradesh,Ananthapuramu,55,2,0,57,,,,,0.0406044301054642,False
2025-02-01,Andhra Pradesh,Ananthapuramu,103,7,0,110,57.0,53.0,0.9298245614035088,1.448906075912686,7.512178783927353,False
2025-03-01,Andhra Pradesh,Ananthapuramu,97,5,0,102,110.0,-8.0,-0.07272727272727272,0.07494341771962168,0.14004992053360762,False
2025-04-01,Andhra Pradesh,Ananthapuramu,45,3,0,48,102.0,-54.0,-0.5294117647058824,1.2240758227538209,3.2433998380335343,False
2025-05-01,Andhra Pradesh,Ananthapuramu,77,4,0,81,48.0,33.0,0.6875,0.949283291115208,3.641318788897258,False
2025-06-01,Andhra Pradesh,Ananthapuramu,68,2,2,72,81.0,-9.0,-0.1111111111111111,0.09992455695949558,0.18108439839512513,False
2025-07-01,Andhra Pradesh,Ananthapuramu,38,2,0,40,72.0,-32.0,-0.4444444444444444,0.6744907594765952,1.5658915029481282,False
2025-08-01,Andhra Pradesh,Ananthapuramu,83,6,0,89,40.0,49.0,1.225,1.3489815189531904,8.63918689272791,False
2025-09-01,Andhra Pradesh,Ananthapuramu,55,2,0,57,89.0,-32.0,-0.3595505617977528,0.6744907594765952,1.445183389594671,False
2025-10-01,Andhra Pradesh,Ananthapuramu,69,2,2,73,57.0,16.0,0.2807017543859649,0.5246039240373518,1.0234542112218783,False
2025-11-01,Andhra Pradesh,Ananthapuramu,67,0,1,68,73.0,-5.0,-0.0684931506849315,0.0,0.07134179452951547,False
2025-12-01,Andhra Pradesh,Ananthapuramu,73,4,0,77,68.0,9.0,0.1323529411764706,0.34973594935823454,0.4552650524695378,False
2025-01-01,Andhra Pradesh,Annamayya,12,0,0,12,,,,,0.02564949357461537,False
2025-02-01,Andhra Pradesh,Annamayya,35,1,11,47,12.0,35.0,2.9166666666666665,1.7121688509790496,21.162730828335096,False
2025-03-01,Andhra Pradesh,Annamayya,16,0,4,20,47.0,-27.0,-0.574468085106383,1.5046332326785585,3.2950071837073915,False
2025-04-01,Andhra Pradesh,Annamayya,17,0,5,22,20.0,2.0,0.1,0.0,0.062709884318583,False
2025-05-01,Andhra Pradesh,Annamayya,33,1,7,41,22.0,19.0,0.8636363636363636,0.8820263777770861,3.537017787240452,False
2025-06-01,Andhra Pradesh,Annamayya,19,1,1,21,41.0,-20.0,-0.4878048780487805,1.1414459006526996,2.255620092131951,False
2025-07-01,Andhra Pradesh,Annamayya,11,0,1,12,21.0,-9.0,-0.42857142857142855,0.5707229503263498,0.9093386402506893,False
2025-08-01,Andhra Pradesh,Annamayya,25,2,0,27,12.0,15.0,1.25,0.6744907594765952,3.484028162452855,False
2025-09-01,Andhra Pradesh,Annamayya,27,1,1,29,27.0,2.0,0.07407407407407407,0.0,0.05920602849560049,False
2025-10-01,Andhra Pradesh,Annamayya,26,2,6,34,29.0,5.0,0.1724137931034483,0.15565171372536812,0.24760529365511996,False
2025-11-01,Andhra Pradesh,Annamayya,20,1,0,21,34.0,-13.0,-0.38235294117647056,0.7782585686268406,1.309460180549437,False
2025-12-01,Andhra Pradesh,Annamayya,23,1,6,30,21.0,9.0,0.42857142857142855,0.36318733202585896,0.8407348106269609,False
2025-01-01,Andhra Pradesh,Bapatla,9,1,0,10,,,,,0.023978952727983713,False
2025-02-01,Andhra Pradesh,Bapatla,17,2,0,19,10.0,9.0,0.9,1.1241512657943253,3.66722945465203,False
2025-03-01,Andhra Pradesh,Bapatla,11,0,1,12,19.0,-7.0,-0.3684210526315789,0.6744907594765952,0.9305322750171883,False
2025-04-01,Andhra Pradesh,Bapatla,4,0,0,4,12.0,-8.0,-0.6666666666666666,0.7869058860560277,1.0943553009643057,False
2025-05-01,Andhra Pradesh,Bapatla,12,1,1,14,4.0,10.0,2.5,1.2365663923737578,9.410671107900948,False
2025-06-01,Andhra Pradesh,Bapatla,8,1,0,9,14.0,-5.0,-0.35714285714285715,0.44966050631773014,0.5785783259678925,False
2025-07-01,Andhra Pradesh,Bapatla,7,1,0,8,9.0,-1.0,-0.1111111111111111,0.0,0.04638585218820908,False
2025-08-01,Andhra Pradesh,Bapatla,11,0,1,12,8.0,4.0,0.5,0.5620756328971627,1.0189142815143106,False
2025-09-01,Andhra Pradesh,Bapatla,12,5,0,17,12.0,5.0,0.4166666666666667,0.6744907594765952,1.1565925459370627,False
2025-10-01,Andhra Pradesh,Bapatla,13,1,0,14,17.0,-3.0,-0.17647058823529413,0.22483025315886507,0.24319918660220283,False
2025-11-01,Andhra Pradesh,Bapatla,10,1,3,14,14.0,0.0,0.0,0.11241512657943253,0.057523082625058376,False
2025-12-01,Andhra Pradesh,Bapatla,7,0,0,7,14.0,-7.0,-0.5,0.6744907594765952,0.9663049553416787,False
2025-01-01,Andhra Pradesh,Chittoor,150,13,0,163,,,,,0.050998664278242,False
2025-02-01,Andhra Pradesh,Chittoor,305,33,0,338,163.0,175.0,1.0736196319018405,1.441280254460514,10.538516226530975,False
2025-03-01,Andhra Pradesh,Chittoor,210,23,1,234,338.0,-104.0,-0.3076923076923077,0.5395926075812763,1.4236250643933426,False
2025-04-01,Andhra Pradesh,Chittoor,103,8,0,111,234.0,-123.0,-0.5256410256410257,0.6744907594765953,2.2863636947645793,False
2025-05-01,Andhra Pradesh,Chittoor,206,21,0,227,111.0,116.0,1.045045045045045,1.0223859933118917,6.9777000988351805,False
2025-06-01,Andhra Pradesh,Chittoor,189,17,0,206,227.0,-21.0,-0.09251101321585903,0.049699319119328074,0.1536823835866586,False
2025-07-01,Andhra Pradesh,Chittoor,66,8,0,74,206.0,-132.0,-0.6407766990291263,0.7383898840585885,2.681417832878784,False
2025-08-01,Andhra Pradesh,Chittoor,235,19,0,254,74.0,180.0,2.4324324324324325,1.476779768117177,22.12675420594317,False
2025-09-01,Andhra Pradesh,Chittoor,182,14,0,196,254.0,-58.0,-0.2283464566929134,0.21299708193997746,0.5429626811908498,False
2025-10-01,Andhra Pradesh,Chittoor,244,19,4,267,196.0,71.0,0.3622448979591837,0.7028903704019256,2.0749940533527567,False
2025-11-01,Andhra Pradesh,Chittoor,205,19,4,228,267.0,-39.0,-0.14606741573033707,0.0780989300446584,0.2381292993522415,False
2025-12-01,Andhra Pradesh,Chittoor,175,23,2,200,228.0,-28.0,-0.12280701754385964,0.0,0.11816135496903556,False
2025-01-01,Andhra Pradesh,Cuddapah,124,11,0,135,,,,,0.049126548857360536,False
2025-02-01,Andhra Pradesh,Cuddapah,255,21,0,276,135.0,141.0,1.0444444444444445,2.125282204388517,14.3227520621098,False
2025-03-01,Andhra Pradesh,Cuddapah,151,18,0,169,276.0,-107.0,-0.38768115942028986,1.030825500332155,2.832301888712897,False
2025-04-01,Andhra Pradesh,Cuddapah,86,4,0,90,169.0,-79.0,-0.46745562130177515,0.6744907594765952,1.9824737431275632,False
2025-05-01,Andhra Pradesh,Cuddapah,154,14,0,168,90.0,78.0,0.8666666666666667,1.3235290374635076,7.059141120608404,False
2025-06-01,Andhra Pradesh,Cuddapah,157,20,1,178,168.0,10.0,0.05952380952380952,0.45814466681429106,0.4618711556903749,False
2025-07-01,Andhra Pradesh,Cuddapah,60,4,0,64,178.0,-114.0,-0.6404494382022472,1.1199091855460448,3.7706450043180406,False
2025-08-01,Andhra Pradesh,Cuddapah,165,14,0,179,64.0,115.0,1.796875,1.79439994502264,18.660578324714482,False
2025-09-01,Andhra Pradesh,Cuddapah,142,11,0,153,179.0,-26.0,-0.1452513966480447,0.0,0.12353196605919461,False
2025-10-01,Andhra Pradesh,Cuddapah,166,9,0,175,153.0,22.0,0.1437908496732026,0.6108595557523882,0.8960503316929049,False
2025-11-01,Andhra Pradesh,Cuddapah,133,11,0,144,175.0,-31.0,-0.17714285714285713,0.0636312037242071,0.22569098997158338,False
2025-12-01,Andhra Pradesh,Cuddapah,109,7,0,116,144.0,-28.0,-0.19444444444444445,0.02545248148968284,0.17590892490283822,False
2025-01-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,10,2,0,12,,,,,0.02564949357461537,False
2025-02-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,27,0,1,28,12.0,16.0,1.3333333333333333,0.858442784788394,4.625883229247968,False
2025-03-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,19,0,0,19,28.0,-9.0,-0.32142857142857145,0.6744907594765952,0.9777846490019235,False
2025-04-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,3,0,1,4,19.0,-15.0,-0.7894736842105263,1.0423948101001925,1.635398340000008,False
2025-05-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,16,0,0,16,4.0,12.0,3.0,0.6131734177059956,6.263774575379494,False
2025-06-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,17,1,0,18,16.0,2.0,0.125,0.0,0.06624987703124491,False
2025-07-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,9,0,0,9,18.0,-9.0,-0.5,0.6744907594765952,1.069998526459467,False
2025-08-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,20,1,1,22,9.0,13.0,1.4444444444444444,0.6744907594765952,3.7505463359054665,False
2025-09-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,17,4,1,22,22.0,0.0,0.0,0.12263468354119914,0.06980697625086466,False
2025-10-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,21,2,1,24,22.0,2.0,0.09090909090909091,0.0,0.06145126574748384,False
2025-11-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,13,0,1,14,24.0,-10.0,-0.4166666666666667,0.7358081012471948,1.1694286532770832,False
2025-12-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,18,0,2,20,14.0,6.0,0.42857142857142855,0.24526936708239827,0.5556238914316326,False
2025-01-01,Andhra Pradesh,East Godavari,159,11,1,171,,,,,0.05147494476813454,False
2025-02-01,Andhra Pradesh,East Godavari,325,25,1,351,171.0,180.0,1.0526315789473684,2.2033364809568776,15.567344820427497,False
2025-03-01,Andhra Pradesh,East Godavari,177,14,0,191,351.0,-160.0,-0.45584045584045585,1.6187778227438285,5.0228336299877405,False
2025-04-01,Andhra Pradesh,East Godavari,103,12,0,115,191.0,-76.0,-0.39790575916230364,0.6744907594765952,1.8330956571519836,False
2025-05-01,Andhra Pradesh,East Godavari,231,8,0,239,115.0,124.0,1.0782608695652174,1.5738117721120557,10.808844365507108,False
2025-06-01,Andhra Pradesh,East Godavari,181,16,0,197,239.0,-42.0,-0.17573221757322174,0.2922793291065246,0.5720003759395341,False
2025-07-01,Andhra Pradesh,East Godavari,72,7,0,79,197.0,-118.0,-0.5989847715736041,1.1466342911102119,3.818403292858353,False
2025-08-01,Andhra Pradesh,East Godavari,229,13,0,242,79.0,163.0,2.0632911392405062,2.0122307657718426,25.099830714605535,False
2025-09-01,Andhra Pradesh,East Godavari,213,13,0,226,242.0,-16.0,-0.06611570247933884,0.0,0.09011693830692248,False
2025-10-01,Andhra Pradesh,East Godavari,241,16,1,258,226.0,32.0,0.1415929203539823,0.5395926075812763,0.8586468839935028,False
2025-11-01,Andhra Pradesh,East Godavari,173,12,2,187,258.0,-71.0,-0.2751937984496124,0.618283196186879,1.411197025223998,False
2025-12-01,Andhra Pradesh,East Godavari,170,11,0,181,187.0,-6.0,-0.03208556149732621,0.11241512657943255,0.14600866608098442,False
2025-01-01,Andhra Pradesh,Eluru,6,0,0,6,,,,,0.019459101490553136,False
2025-02-01,Andhra Pradesh,Eluru,28,0,0,28,6.0,22.0,3.6666666666666665,1.6862268986914881,22.655574859106927,False
2025-03-01,Andhra Pradesh,Eluru,10,3,0,13,28.0,-15.0,-0.5357142857142857,1.433292863887765,2.572384654351358,False
2025-04-01,Andhra Pradesh,Eluru,9,0,0,9,13.0,-4.0,-0.3076923076923077,0.5058680696074465,0.5687563663550523,False
2025-05-01,Andhra Pradesh,Eluru,11,0,0,11,9.0,2.0,0.2222222222222222,0.0,0.08006921427094668,False
2025-06-01,Andhra Pradesh,Eluru,20,3,0,23,11.0,12.0,1.0909090909090908,0.8431134493457441,3.5694705057192144,False
2025-07-01,Andhra Pradesh,Eluru,10,0,1,11,23.0,-12.0,-0.5217391304347826,1.1803588290840417,1.9781079134622477,False
2025-08-01,Andhra Pradesh,Eluru,13,3,0,16,11.0,5.0,0.45454545454545453,0.25293403480372323,0.5545107494148008,False
2025-09-01,Andhra Pradesh,Eluru,16,1,1,18,16.0,2.0,0.125,0.0,0.06624987703124491,False
2025-10-01,Andhra Pradesh,Eluru,25,2,1,28,18.0,10.0,0.5555555555555556,0.6744907594765952,1.7096492308907465,False
2025-11-01,Andhra Pradesh,Eluru,24,3,2,29,28.0,1.0,0.03571428571428571,0.0843113449345744,0.08507647151599995,False
2025-12-01,Andhra Pradesh,Eluru,12,0,0,12,29.0,-17.0,-0.5862068965517241,1.6019155537569136,2.9955176345050196,False
