state,district,pincode,months,mean,std,cov,max_total,peak_factor,spike_months,spike_freq,severity_metric,cov_norm,spike_norm,peak_norm,severity_norm,instability_score
Gujarat,Banaskantha,385566,11,35.90909090909091,98.58747845994901,2.745474083694783,333,9.273417721518989,2,0.18181818181818182,381.8301519570392,1.0,1.0,1.0,1.0,100.0
Gujarat,Banaskantha,385110,12,57.083333333333336,160.0576363991952,2.803929396774222,564,9.880291970802919,2,0.16666666666666666,412.8117072901556,1.0,1.0,1.0,1.0,100.0
Gujarat,Arvalli,383325,12,28.25,79.5968535239245,2.817587735360159,280,9.91150442477876,4,0.3333333333333333,254.591805010099,1.0,1.0,1.0,1.0,100.0
Maharashtra,Nashik,423203,12,313.4166666666667,783.1178314141415,2.4986476939563143,2798,8.927412922095186,2,0.16666666666666666,495.6865079005356,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Kheri,261506,12,57.833333333333336,138.49964445857438,2.394806532424917,497,8.593659942363113,2,0.16666666666666666,151.7192040676374,1.0,1.0,1.0,1.0,100.0
Bihar,Munger,811213,12,155.16666666666666,465.4739194594792,2.999831919180317,1633,10.524167561761548,2,0.16666666666666666,298.3764263699453,1.0,1.0,1.0,1.0,100.0
Maharashtra,Nashik,422209,12,23.833333333333332,61.55829954136357,2.5828657150222476,219,9.18881118881119,2,0.16666666666666666,357.84373058756944,1.0,1.0,1.0,1.0,100.0
Jharkhand,Ranchi,834002,12,83.25,224.21585581755815,2.6932835533640618,795,9.54954954954955,2,0.16666666666666666,433.07373410741883,1.0,1.0,1.0,1.0,100.0
Maharashtra,Nandurbar,425432,12,66.75,194.4797839458805,2.913554815668622,684,10.247191011235955,2,0.16666666666666666,421.9918188637125,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Jaunpur,222001,12,92.83333333333333,217.6965499928464,2.3450256731724926,783,8.43447037701975,3,0.25,612.398673311479,1.0,1.0,1.0,1.0,100.0
Gujarat,Ahmedabad,387810,12,39.083333333333336,113.411926848613,2.9017977018834884,399,10.208955223880597,2,0.16666666666666666,371.5905434446582,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Gorakhpur,273209,12,70.25,164.18178672102792,2.337107284285095,591,8.412811387900355,2,0.16666666666666666,332.1470154576121,1.0,1.0,1.0,1.0,100.0
Mizoram,Champhai,796321,12,64.25,194.69375719552258,3.030253030280507,682,10.614785992217898,3,0.25,527.7457609619626,1.0,1.0,1.0,1.0,100.0
Gujarat,Dohad,389170,10,172.9,536.2195756715091,3.101327794514223,1699,9.82648930017351,2,0.2,1315.0630784813106,1.0,1.0,1.0,1.0,100.0
Maharashtra,Nanded,431802,12,42.5,122.41471985167323,2.8803463494511345,431,10.141176470588235,2,0.16666666666666666,243.81473409875878,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Gonda,271504,12,78.66666666666667,185.45439691021977,2.3574711471638103,667,8.478813559322033,3,0.25,708.229823091088,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Gonda,271503,12,94.41666666666667,262.8689470693207,2.784137126947792,929,9.839364518976168,2,0.16666666666666666,483.3697262778414,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Hapur,245101,12,303.25,839.8282427215265,2.7694253675895353,2969,9.790601813685079,2,0.16666666666666666,765.6525398198579,1.0,1.0,1.0,1.0,100.0
Maharashtra,Nanded,431715,12,70.91666666666667,181.0993992928812,2.5536930570089003,645,9.095182138660398,2,0.16666666666666666,183.3541134193886,1.0,1.0,1.0,1.0,100.0
Gujarat,Ahmedabad,382440,12,48.75,124.89859523192841,2.5620224662959674,445,9.128205128205128,2,0.16666666666666666,382.2694813078964,1.0,1.0,1.0,1.0,100.0
Gujarat,Gir Somnath,362268,12,86.75,278.4816380432878,3.210162974562395,971,11.193083573487032,2,0.16666666666666666,658.28416706018,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Gautam Buddha Nagar,201301,12,529.9166666666666,1506.2600559201608,2.842447031143565,5305,10.011008020128951,2,0.16666666666666666,647.0606361669753,1.0,1.0,1.0,1.0,100.0
Bihar,Muzaffarpur,843125,12,74.58333333333333,183.3677171613632,2.458561570878613,656,8.795530726256985,2,0.16666666666666666,489.20111563642143,1.0,1.0,1.0,1.0,100.0
Maharashtra,Sangli,416410,12,110.75,330.2668686766121,2.982093622362186,1159,10.465011286681715,2,0.16666666666666666,916.864449590053,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Fatehpur,212601,12,223.91666666666666,640.3783623528336,2.859895924165986,2257,10.079642724227764,2,0.16666666666666666,690.460897038369,1.0,1.0,1.0,1.0,100.0
Gujarat,Ahmadabad,380058,9,32.333333333333336,92.87626176801047,2.872461704165272,280,8.65979381443299,1,0.1111111111111111,143.09245490259602,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Etah,207244,9,59.55555555555556,171.16812722518694,2.874091688482616,516,8.664179104477611,1,0.1111111111111111,417.6077274887525,1.0,1.0,1.0,1.0,100.0
Gujarat,Gir Somnath,362720,12,73.08333333333333,219.22485689079122,2.9996559665786715,769,10.52223489167617,2,0.16666666666666666,308.23215064110303,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Chandauli,232104,12,77.16666666666667,184.37502953261188,2.3893092380036096,662,8.578833693304535,2,0.16666666666666666,219.4744445748551,1.0,1.0,1.0,1.0,100.0
Meghalaya,West Garo Hills,794109,11,106.72727272727273,327.7926451002496,3.07131098475532,1095,10.259795570698467,2,0.18181818181818182,595.6303089385704,1.0,1.0,1.0,1.0,100.0
Delhi,West Delhi,110018,12,216.25,653.5892684386594,3.022378119947558,2291,10.594219653179191,2,0.16666666666666666,547.3740195087521,1.0,1.0,1.0,1.0,100.0
Delhi,South West Delhi,110045,12,190.25,547.9967028766107,2.8804031688652336,1930,10.14454664914586,2,0.16666666666666666,566.800495524754,1.0,1.0,1.0,1.0,100.0
Meghalaya,South West Garo Hills,794115,11,222.27272727272728,685.8338123640582,3.085550894071427,2290,10.302658486707566,2,0.18181818181818182,430.6035523973734,1.0,1.0,1.0,1.0,100.0
Meghalaya,South West Khasi Hills,793119,11,30.636363636363637,91.11451336342934,2.9740642344146075,305,9.955489614243323,2,0.18181818181818182,163.11821495818356,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Banda,210001,12,201.5,538.1124417814552,2.6705332098335246,1909,9.47394540942928,2,0.16666666666666666,283.3333399576166,1.0,1.0,1.0,1.0,100.0
Delhi,South Delhi,110016,12,12.75,33.52644817562289,2.6295253471076774,119,9.333333333333334,2,0.16666666666666666,139.59109651958224,1.0,1.0,1.0,1.0,100.0
Delhi,North West Delhi,110085,12,165.66666666666666,471.0476396160783,2.843345913175523,1661,10.0261569416499,2,0.16666666666666666,519.2016813823009,1.0,1.0,1.0,1.0,100.0
Bihar,Nalanda,805130,9,145.44444444444446,426.591171706328,2.933017987285677,1283,8.821237585943468,1,0.1111111111111111,458.81082747697366,1.0,1.0,1.0,1.0,100.0
Meghalaya,South Garo Hills,794114,9,50.666666666666664,141.89344593743573,2.800528538238863,429,8.467105263157896,1,0.1111111111111111,142.25481354891642,1.0,1.0,1.0,1.0,100.0
Meghalaya,South Garo Hills,794107,9,37.333333333333336,103.38520203588132,2.769246483103964,313,8.383928571428571,1,0.1111111111111111,158.1868292363074,1.0,1.0,1.0,1.0,100.0
Meghalaya,Ri Bhoi,793105,12,197.58333333333334,602.52611536511,3.049478441324892,2110,10.679038380430198,2,0.16666666666666666,258.99647735718037,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Bahraich,271865,12,359.5833333333333,1043.5637767096969,2.902147235345623,3672,10.211819235225956,2,0.16666666666666666,503.6391145078021,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Bahraich,271855,12,445.75,1227.1993336640364,2.7531112364869017,4342,9.740886146943353,2,0.16666666666666666,713.6521362389262,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Bahraich,271802,12,38.666666666666664,109.81582377560692,2.8400644079898343,387,10.008620689655173,2,0.16666666666666666,178.3028658642362,1.0,1.0,1.0,1.0,100.0
Meghalaya,East Khasi Hills,793113,9,137.22222222222223,377.34890280010677,2.749911032551385,1143,8.329554655870444,1,0.1111111111111111,285.4442889564288,1.0,1.0,1.0,1.0,100.0
Meghalaya,East Khasi Hills,793111,11,120.9090909090909,370.97828899962724,3.068241487966842,1239,10.247368421052633,2,0.18181818181818182,803.3918463488063,1.0,1.0,1.0,1.0,100.0
Maharashtra,Mumbai Suburban,400051,12,31.75,84.83687555860043,2.672027576648832,301,9.48031496062992,3,0.25,462.34024868175084,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Azamgarh,276403,10,66.3,199.4899329122483,3.0088979323114375,634,9.562594268476621,2,0.2,247.5095597953617,1.0,1.0,1.0,1.0,100.0
West Bengal,Birbhum,731234,12,59.5,147.53705235696495,2.479614325327142,527,8.857142857142858,2,0.16666666666666666,141.05220362293406,1.0,1.0,1.0,1.0,100.0
Meghalaya,East Khasi Hills,793010,9,67.77777777777777,191.73404612755775,2.8288629756524917,579,8.542622950819673,2,0.2222222222222222,226.2062423214528,1.0,1.0,1.0,1.0,100.0
Meghalaya,East Khasi Hills,793009,12,90.5,289.95752039973655,3.2039505016545475,1011,11.171270718232044,2,0.16666666666666666,460.863034432042,1.0,1.0,1.0,1.0,100.0
Meghalaya,East Khasi Hills,793008,10,72.1,209.7763094345975,2.9095188548487867,669,9.27877947295423,2,0.2,219.44696406994308,1.0,1.0,1.0,1.0,100.0
Meghalaya,East Khasi Hills,793015,11,320.72727272727275,970.3219147179034,3.0253801195852996,3245,10.117630385487528,2,0.18181818181818182,395.55838823622406,1.0,1.0,1.0,1.0,100.0
Karnataka,Kalaburagi,585104,12,63.333333333333336,174.81696055294435,2.7602677982043846,618,9.757894736842104,2,0.16666666666666666,440.11642659419186,1.0,1.0,1.0,1.0,100.0
Bihar,Bhagalpur,812004,12,37.166666666666664,86.73138609138755,2.3335798948355397,312,8.394618834080719,2,0.16666666666666666,138.97734238278008,1.0,1.0,1.0,1.0,100.0
Bihar,Nawada,805109,12,70.75,181.02693169802112,2.5586845469684962,645,9.116607773851591,2,0.16666666666666666,257.9374606575824,1.0,1.0,1.0,1.0,100.0
Haryana,Faridabad,121001,12,195.75,553.8772632337174,2.8295134775668833,1954,9.982120051085568,2,0.16666666666666666,593.6100957601661,1.0,1.0,1.0,1.0,100.0
Meghalaya,East Jaintia Hills,793160,12,143.83333333333334,454.23418736340943,3.158059240070054,1586,11.026651216685979,2,0.16666666666666666,1067.7483499253826,1.0,1.0,1.0,1.0,100.0
Meghalaya,East Garo Hills,794111,12,258.8333333333333,816.1021363589837,3.1530024585665823,2850,11.010946555054733,2,0.16666666666666666,570.5563177402122,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Aligarh,202133,12,136.5,358.0511644494909,2.623085453842424,1268,9.28937728937729,2,0.16666666666666666,167.70281270896717,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Agra,283110,12,68.83333333333333,186.62204553264303,2.711216157859221,661,9.602905569007264,2,0.16666666666666666,308.87252581608766,1.0,1.0,1.0,1.0,100.0
Gujarat,Kachchh,370140,12,27.0,76.32466538056059,2.826839458539281,269,9.962962962962964,2,0.16666666666666666,179.9534244270457,1.0,1.0,1.0,1.0,100.0
Tripura,North Tripura,799271,10,23.7,67.93141966555518,2.8663046272386152,217,9.156118143459915,2,0.2,237.9037602556248,1.0,1.0,1.0,1.0,100.0
Punjab,Kapurthala,144601,12,119.75,354.527630670856,2.9605647655186305,1245,10.396659707724426,2,0.16666666666666666,142.75822672882578,1.0,1.0,1.0,1.0,100.0
Punjab,Ludhiana,141012,12,28.166666666666668,83.41880465276982,2.961614366370526,293,10.402366863905325,2,0.16666666666666666,360.074126451213,1.0,1.0,1.0,1.0,100.0
Maharashtra,Palghar,421303,12,41.583333333333336,114.03943363697675,2.742431269827096,403,9.691382765531062,2,0.16666666666666666,135.8928793595899,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Barwani,451556,12,46.166666666666664,113.84345977408334,2.4659233164061374,407,8.815884476534297,2,0.16666666666666666,213.95471665551764,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Barwani,451447,12,155.5,432.70407691841564,2.7826628740734125,1529,9.832797427652734,2,0.16666666666666666,1019.7403390626613,1.0,1.0,1.0,1.0,100.0
Chhattisgarh,Durg,491001,12,92.5,253.4925137858208,2.74045960849536,897,9.697297297297297,2,0.16666666666666666,356.5571817213232,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Betul,460001,12,87.58333333333333,223.74964025703264,2.5547056927539407,797,9.099904852521409,2,0.16666666666666666,477.5371365969343,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Khargone,451332,12,202.91666666666666,603.3162081112167,2.973221559480329,2118,10.437782340862423,2,0.16666666666666666,659.8603982708728,1.0,1.0,1.0,1.0,100.0
Bihar,Pashchim Champaran,845438,8,390.625,1100.409915505516,2.817049383694121,3114,7.97184,1,0.125,3197.1596815935436,1.0,1.0,1.0,1.0,100.0
Bihar,Nawada,805110,12,73.75,182.50435860299584,2.474635370888079,653,8.854237288135593,2,0.16666666666666666,312.43733462531725,1.0,1.0,1.0,1.0,100.0
Gujarat,Patan,385340,11,91.18181818181819,252.8322836118118,2.772836609900229,853,9.354935194416749,2,0.18181818181818182,410.72427390393034,1.0,1.0,1.0,1.0,100.0
Gujarat,Rajkot,360004,12,112.25,329.68859273838723,2.9370921402083496,1159,10.325167037861915,2,0.16666666666666666,822.9551878015251,1.0,1.0,1.0,1.0,100.0
Maharashtra,Hingoli,431701,12,64.16666666666667,178.31322458136992,2.7789073960732975,630,9.818181818181818,2,0.16666666666666666,454.1277643061934,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Bhind,477116,12,126.58333333333333,343.836234362532,2.716283615767205,1216,9.606319947333773,2,0.16666666666666666,198.54211882008633,1.0,1.0,1.0,1.0,100.0
Telangana,Hyderabad,500002,12,61.666666666666664,155.51400599497802,2.5218487458645087,555,9.0,2,0.16666666666666666,400.45315092089896,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Bhind,477445,12,84.58333333333333,246.1653023084408,2.91032869724265,866,10.238423645320198,3,0.25,579.8540719483267,1.0,1.0,1.0,1.0,100.0
Chhattisgarh,Balrampur,497118,12,55.833333333333336,133.27949670682375,2.3870954634057986,477,8.543283582089552,3,0.25,160.4110970866579,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Burhanpur,450332,11,139.9090909090909,423.2846452555194,3.0254263143669355,1416,10.120857699805068,2,0.18181818181818182,1046.2324695161628,1.0,1.0,1.0,1.0,100.0
Rajasthan,Chittorgarh,312022,12,62.333333333333336,169.7122341619555,2.722656163026024,601,9.641711229946523,2,0.16666666666666666,289.60769654490207,1.0,1.0,1.0,1.0,100.0
Assam,Barpeta,781309,12,80.33333333333333,204.18856407000294,2.5417663577178793,727,9.049792531120332,2,0.16666666666666666,140.44400439971275,1.0,1.0,1.0,1.0,100.0
Assam,Biswanath,784176,12,18.833333333333332,47.689970993211276,2.532210849197059,170,9.026548672566372,2,0.16666666666666666,186.36046772001782,1.0,1.0,1.0,1.0,100.0
Assam,Cachar,788011,10,17.2,43.194135404396434,2.511286942116072,140,8.13953488372093,2,0.2,153.61705934210565,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Khargone,451115,12,55.75,153.8701489154824,2.7600026711297287,544,9.757847533632287,2,0.16666666666666666,337.35170085977916,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Chhatarpur,471625,12,78.91666666666667,237.2085612180798,3.0058107018130493,832,10.542766631467792,2,0.16666666666666666,473.6645468943352,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Chhatarpur,471318,12,45.833333333333336,128.00485312769368,2.79283315914968,452,9.861818181818181,3,0.25,371.09854548329895,1.0,1.0,1.0,1.0,100.0
Maharashtra,Washim,444505,12,66.91666666666667,195.33814892192058,2.919125513154479,687,10.266500622665005,2,0.16666666666666666,464.35734955544916,1.0,1.0,1.0,1.0,100.0
Assam,Cachar,788815,12,93.25,268.32921604219354,2.8775251050101183,945,10.134048257372655,2,0.16666666666666666,349.5134438319135,1.0,1.0,1.0,1.0,100.0
Assam,Cachar,788113,12,19.583333333333332,55.979636449066874,2.8585346271863936,197,10.059574468085106,3,0.25,212.36850008409525,1.0,1.0,1.0,1.0,100.0
Assam,Cachar,788112,11,17.0,48.46854650182941,2.8510909706958474,163,9.588235294117647,2,0.18181818181818182,210.50691185420084,1.0,1.0,1.0,1.0,100.0
Assam,Dibrugarh,786001,12,44.166666666666664,127.53240824008286,2.887526224303763,449,10.166037735849057,2,0.16666666666666666,385.6494056318635,1.0,1.0,1.0,1.0,100.0
Assam,Golaghat,785601,12,104.0,312.1529345456399,3.0014705244773063,1095,10.528846153846153,2,0.16666666666666666,235.7915749569217,1.0,1.0,1.0,1.0,100.0
Assam,Golaghat,785614,12,79.91666666666667,243.19108025409056,3.043058355629913,852,10.661105318039624,2,0.16666666666666666,788.5441753006568,1.0,1.0,1.0,1.0,100.0
Assam,Golaghat,785611,10,31.0,82.10020977101365,2.6483938635810857,264,8.516129032258064,2,0.2,225.17046278022667,1.0,1.0,1.0,1.0,100.0
Gujarat,Morbi,363642,11,56.27272727272727,161.96857158664514,2.878278331911303,544,9.667205169628433,2,0.18181818181818182,433.3708986385482,1.0,1.0,1.0,1.0,100.0
Maharashtra,Buldhana,443201,11,59.0,146.66765151184498,2.485892398505847,501,8.491525423728813,2,0.18181818181818182,335.8055846707945,1.0,1.0,1.0,1.0,100.0
Bihar,Siwan,841406,12,71.66666666666667,178.53155225761958,2.4911379384784125,638,8.902325581395349,2,0.16666666666666666,235.16788415881854,1.0,1.0,1.0,1.0,100.0
Bihar,Sitamarhi,843331,12,284.9166666666667,889.7053095709769,3.1226860821444054,3109,10.911962562152675,2,0.16666666666666666,452.7748057229426,1.0,1.0,1.0,1.0,100.0
Bihar,Sitamarhi,843330,12,183.25,563.2603346104308,3.0737262461687904,1970,10.750341064120054,2,0.16666666666666666,569.8137807335286,1.0,1.0,1.0,1.0,100.0
Bihar,Purnia,854304,12,96.91666666666667,233.07878431330832,2.4049401648836626,836,8.62596732588134,3,0.25,323.3371818771964,1.0,1.0,1.0,1.0,100.0
Assam,Tinsukia,786125,12,44.666666666666664,134.30381659325678,3.0068018640281373,471,10.544776119402986,2,0.16666666666666666,267.22232863076465,1.0,1.0,1.0,1.0,100.0
Maharashtra,Amravati,444601,12,105.83333333333333,302.00115392113486,2.85355421027844,1064,10.053543307086615,2,0.16666666666666666,909.8125079253783,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Khandwa,450117,12,51.25,118.16331148803415,2.3056255900104223,425,8.292682926829269,2,0.16666666666666666,156.60119908884667,1.0,1.0,1.0,1.0,100.0
Bihar,Sitamarhi,843324,12,457.6666666666667,1385.3374602557597,3.026957305729992,4850,10.597232337946103,2,0.16666666666666666,651.3511616951655,1.0,1.0,1.0,1.0,100.0
Bihar,Sitamarhi,843317,12,248.91666666666666,727.283420849413,2.921794794172399,2554,10.260462002008705,2,0.16666666666666666,233.77723005421944,1.0,1.0,1.0,1.0,100.0
Gujarat,Navsari,396445,11,64.72727272727273,181.64200555438214,2.806266939744668,612,9.45505617977528,2,0.18181818181818182,376.6960524832346,1.0,1.0,1.0,1.0,100.0
Maharashtra,Buldhana,443103,12,34.416666666666664,85.97511091571617,2.4980661767278307,307,8.920096852300242,2,0.16666666666666666,262.35991071048113,1.0,1.0,1.0,1.0,100.0
West Bengal,Nadia,741404,12,41.166666666666664,95.87476047933417,2.3289415501052835,345,8.380566801619434,2,0.16666666666666666,163.30754469242794,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Gwalior,474001,12,244.5,665.7981539612301,2.7231008341972602,2357,9.640081799591002,2,0.16666666666666666,760.1126620706071,1.0,1.0,1.0,1.0,100.0
Assam,Lakhimpur,787056,9,32.55555555555556,90.91907268432614,2.7927360210202568,275,8.447098976109215,1,0.1111111111111111,220.76741361110908,1.0,1.0,1.0,1.0,100.0
Madhya Pradesh,Gwalior,475110,12,231.33333333333334,621.7825304328799,2.6878207367415556,2203,9.523054755043228,2,0.16666666666666666,377.56838905998,1.0,1.0,1.0,1.0,100.0
Assam,Marigaon,782410,12,113.25,346.4435215678937,3.0591039432043594,1213,10.710816777041943,2,0.16666666666666666,271.9755255985898,1.0,1.0,1.0,1.0,100.0
Assam,Marigaon,782127,12,131.5,371.0632144135404,2.8217734936390904,1309,9.954372623574145,3,0.25,448.94742542460784,1.0,1.0,1.0,1.0,100.0
Assam,Marigaon,782105,12,87.66666666666667,223.05903553394413,2.544399644873887,795,9.068441064638783,2,0.16666666666666666,209.93705863067834,1.0,1.0,1.0,1.0,100.0
Assam,Majuli,785104,12,22.583333333333332,61.899417434963624,2.740933613356323,219,9.697416974169743,2,0.16666666666666666,152.87368607963447,1.0,1.0,1.0,1.0,100.0
Karnataka,Bengaluru,560103,12,25.333333333333332,69.85482781953564,2.757427413929039,247,9.75,3,0.25,344.4256102231849,1.0,1.0,1.0,1.0,100.0
Assam,Sonitpur,784507,9,93.44444444444444,263.11457158009665,2.8157326328428893,795,8.507728894173603,1,0.1111111111111111,232.24545453076746,1.0,1.0,1.0,1.0,100.0
Gujarat,Botad,364710,11,124.72727272727273,379.8921138715809,3.0457822540724413,1270,10.182215743440233,3,0.2727272727272727,618.4686468591647,1.0,1.0,1.0,1.0,100.0
Gujarat,Dahod,389152,12,38.833333333333336,107.28452682922034,2.7626916780056736,379,9.759656652360514,2,0.16666666666666666,144.30287640208178,1.0,1.0,1.0,1.0,100.0
Nagaland,Tuensang,798612,12,76.75,219.1562850404416,2.8554564826116167,772,10.058631921824103,3,0.25,236.1396996108534,1.0,1.0,1.0,1.0,100.0
Bihar,Lakhisarai,811311,12,197.5,570.1091602013202,2.8866286592471906,2007,10.162025316455697,2,0.16666666666666666,298.12325406716246,1.0,1.0,1.0,1.0,100.0
Haryana,Mewat,122508,12,169.08333333333334,384.7120430407736,2.275280688264802,1389,8.214884179398718,3,0.25,296.4894408900414,0.9924288257173061,1.0,1.0,1.0,99.77286477151918
Gujarat,Bhavnagar,364140,12,40.166666666666664,91.21486455151658,2.2709094909091267,328,8.165975103734441,2,0.16666666666666666,139.37184179828998,0.9902144966497451,1.0,1.0,1.0,99.70643489949236
Gujarat,Dohad,389172,8,82.75,229.60882884966398,2.774729049542767,651,7.867069486404834,1,0.125,333.88711480130996,1.0,1.0,0.9842975144096118,1.0,99.68595028819223
Gujarat,Dohad,389140,8,80.125,218.14702610853993,2.722583789186146,620,7.737909516380655,1,0.125,159.01040056015748,1.0,1.0,0.9648397593859024,1.0,99.29679518771806
Assam,Kokrajhar,783360,12,34.833333333333336,77.88783699343018,2.2360144591415363,281,8.066985645933014,3,0.25,160.86553942401773,0.9725376276206871,1.0,1.0,1.0,99.17612882862062
Bihar,Patna,804453,12,66.16666666666667,147.62041823131338,2.2310390664682123,533,8.055415617128462,2,0.16666666666666666,306.92593460893187,0.9700172297244981,1.0,1.0,1.0,99.10051689173494
Uttar Pradesh,Kaushambi,212203,12,19.666666666666668,43.63970946768828,2.218968278018048,158,8.033898305084746,2,0.16666666666666666,188.77557648614152,0.9639024983228435,1.0,1.0,1.0,98.91707494968529
Tamil Nadu,Salem,636002,11,8.818181818181818,20.975310161321485,2.3786434203560445,72,8.164948453608247,2,0.18181818181818182,129.43956840282314,1.0,1.0,1.0,0.9563985146473585,98.90996286618396
Maharashtra,Pune,412218,10,12.3,30.879874783856664,2.510558925516802,100,8.130081300813007,2,0.2,127.74056859573898,1.0,1.0,1.0,0.9438450048363198,98.596125120908
Rajasthan,Bharatpur,321203,12,77.83333333333333,170.3140592783778,2.1881891984374024,618,7.940042826552463,2,0.16666666666666666,348.45070526801317,0.9483106581375208,1.0,0.9952908382357832,1.0,98.35513650884128
Assam,Dhubri,783331,12,69.16666666666667,185.36344316128265,2.6799533951028813,657,9.49879518072289,2,0.16666666666666666,126.25919174393667,1.0,1.0,1.0,0.9328994598366055,98.32248649591514
Uttar Pradesh,Aligarh,202136,12,21.0,58.001567376940926,2.761979398901949,205,9.761904761904763,2,0.16666666666666666,125.67704965651075,1.0,1.0,1.0,0.9285981489268287,98.21495372317072
Assam,Karimganj,788726,12,11.666666666666666,28.493486762395154,2.4422988653481563,102,8.742857142857144,2,0.16666666666666666,125.58067430587344,1.0,1.0,1.0,0.9278860541374573,98.19715135343642
Nagaland,Phek,797108,8,28.875,74.00084458977479,2.562799812632893,212,7.341991341991342,1,0.125,169.82367079201978,1.0,1.0,0.9051952824999182,1.0,98.10390564999837
